,"Table S1 All DEGs obtained in this study with annotation and TPM. Pre-po, Pol, Post-pol y Fer",,,,,,,,,,,,
TRINITY_DN206_c0_g1_i8,PCKA1_ARATH,PF01293.21,Phosphoenolpyruvate carboxykinase   ,|0006094|0016310|0015074|0006094|0016310|0006094|0016310|0046686|0016036,|gluconeogenesis|phosphorylation|DNA integration|gluconeogenesis|phosphorylation|gluconeogenesis|phosphorylation|response to cadmium ion|cellular response to phosphate starvation,|0004612|0005524|0016301|0003676|0004612|0005524|0016301|0046872|0004612|0005524|0016301|0046872,|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|nucleic acid binding|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|metal ion binding|phosphoenolpyruvate carboxykinase (ATP) activity|ATP binding|kinase activity|metal ion binding,|0005829|0016021|0005829|0016021|0005829|0005730|0016021,|cytosol|integral component of membrane|cytosol|integral component of membrane|cytosol|nucleolus|integral component of membrane,159.5155,112.476,11.085,44.8215
TRINITY_DN2073_c0_g1_i3,YAM3_SCHPO,PF01266.25,FAD dependent oxidoreductase  ,.,.,.,.,.,.,78.1395,155.4455,0,0
TRINITY_DN2087_c0_g1_i25,ALA1_ARATH,PF16212.6,Phospholipid-translocating P-type ATPase C-terminal ,|0034204|0015914,|lipid translocation|phospholipid transport,|0140326|0000287|0005524|0016788,|ATPase-coupled intramembrane lipid transporter activity|magnesium ion binding|ATP binding|hydrolase activity acting on ester bonds,|0016021|0005886,|integral component of membrane|plasma membrane,0,0,113.7915,7.631
TRINITY_DN2092_c0_g1_i4,FRS6_ARATH,PF10551.10,MULE transposase domain  ,.,.,.,.,.,.,2795.992,2703.9225,4335.095,193.779
TRINITY_DN2101_c0_g1_i3,TBA_PRUDU,PF00091.26,Tubulin/FtsZ family,|0007017|0007010|0000278|0090378|0006468,|microtubule-based process|cytoskeleton organization|mitotic cell cycle|seed trichome elongation|protein phosphorylation,|0005200|0003924|0005525|0004672|0005524,|structural constituent of cytoskeleton|GTPase activity|GTP binding|protein kinase activity|ATP binding,|0005874|0005737|0016021,|microtubule|cytoplasm|integral component of membrane,368.937,219.3305,41.1,0
TRINITY_DN2114_c0_g1_i19,MAOX_PHAVU,PF00390.20,Malic enzyme,.,.,.,.,.,.,0,33.935,101.736,47.5615
TRINITY_DN2119_c1_g1_i1,ATL46_ARATH,PF13639.7,Ring finger domain  ,.,.,.,.,|0016021,|integral component of membrane,729.8575,324.407,131.8185,18.995
TRINITY_DN2123_c0_g1_i25,PPAF2_IPOBA,PF00149.29,Calcineurin-like phosphoesterase   ,|0016311|0016036,|dephosphorylation|cellular response to phosphate starvation,|0003993|0046872|0016746,|acid phosphatase activity|metal ion binding|transferase activity transferring acyl groups,|0009505|0009506|0005576|0016021|0005829,|plant-type cell wall|plasmodesma|extracellular region|integral component of membrane|cytosol,530.666,831.1805,1856.7895,41.406
TRINITY_DN2130_c0_g1_i1,HST_TOBAC,PF02458.16,Transferase family   ,.,.,|0050266,|rosmarinate synthase activity,.,.,817.8195,1220.6395,1674.3665,40.1825
TRINITY_DN2130_c0_g1_i6,HST_TOBAC,PF02458.16,Transferase family   ,.,.,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,.,.,187.151,143.373,0,26.5665
TRINITY_DN2139_c0_g1_i15,KN14C_ORYSJ,PF00225.24,Kinesin motor domain  ,|0007018,|microtubule-based movement,|0003777|0008017|0005524,|microtubule motor activity|microtubule binding|ATP binding,|0005874,|microtubule,0,0,94.3345,0
TRINITY_DN2144_c0_g1_i5,MA657_ARATH,PF03999.13,Microtubule associated protein (MAP65/ASE1 family),|0000226|0000226,|microtubule cytoskeleton organization|microtubule cytoskeleton organization,|0008017|0008017,|microtubule binding|microtubule binding,|0005874|0005819|0005737|0005874,|microtubule|spindle|cytoplasm|microtubule,0,163.611,0,33.729
TRINITY_DN2145_c0_g1_i15,CKL1_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0018209|0006897,|protein phosphorylation|peptidyl-serine modification|endocytosis,|0004674|0005524|0005515,|protein serine/threonine kinase activity|ATP binding|protein binding,|0005634|0005737|0005886|0016021,|nucleus|cytoplasm|plasma membrane|integral component of membrane,168.813,0,37.69,66.576
TRINITY_DN2145_c0_g1_i9,CKL2_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0018209|0006897,|protein phosphorylation|peptidyl-serine modification|endocytosis,|0004674|0005524|0005515,|protein serine/threonine kinase activity|ATP binding|protein binding,|0005634|0005737|0005886|0016021,|nucleus|cytoplasm|plasma membrane|integral component of membrane,0,0,141.467,0
TRINITY_DN2147_c0_g1_i1,C1D_CHICK,PF04000.16,Sas10/Utp3/C1D family   ,|0006364|0010468,|rRNA processing|regulation of gene expression,|0003723|0003677,|RNA binding|DNA binding,|0005634|0000178|0070013|0043233|0043232,|nucleus|exosome (RNase complex)|intracellular organelle lumen|organelle lumen|intracellular non-membrane-bounded organelle,0,94.13,194.1835,25.3685
TRINITY_DN2150_c0_g1_i14,SRL2_ORYSJ,PF14379.7,MYB-CC type transfactor,.,.,.,.,.,.,92.9615,135.9465,0,10.337
TRINITY_DN2202_c0_g1_i3,FAAH_ORYSJ,PF01425.22,Amidase    ,|0070291|0016042|0042742,|N-acylethanolamine metabolic process|lipid catabolic process|defense response to bacterium,|0047412|0050567|0050566,|N-(long-chain-acyl)ethanolamine deacylase activity|glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity,|0005783|0042175|0031984|0005774|0005794|0005886|0016021,|endoplasmic reticulum|nuclear outer membrane-endoplasmic reticulum membrane network|organelle subcompartment|vacuolar membrane|Golgi apparatus|plasma membrane|integral component of membrane,0,122.84,121.663,0
TRINITY_DN2202_c0_g1_i7,FAAH_ORYSJ,PF01425.22,Amidase    ,|0070291|0016042|0042742,|N-acylethanolamine metabolic process|lipid catabolic process|defense response to bacterium,|0047412|0050567|0050566,|N-(long-chain-acyl)ethanolamine deacylase activity|glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity|asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity,|0005783|0042175|0031984|0005774|0005794|0005886|0016021,|endoplasmic reticulum|nuclear outer membrane-endoplasmic reticulum membrane network|organelle subcompartment|vacuolar membrane|Golgi apparatus|plasma membrane|integral component of membrane,4.2935,24.67,178.1605,265.371
TRINITY_DN2235_c0_g1_i2,TOLB_PELCD,PF07676.13,WD40-like Beta Propeller Repeat ,.,.,.,.,.,.,46.9045,0,166.2115,66.046
TRINITY_DN22447_c0_g1_i13,NAGS2_ARATH,PF00583.26,Acetyltransferase (GNAT) family  ,|0006526,|arginine biosynthetic process,|0004042|0103045|0005515,|acetyl-CoA:L-glutamate N-acetyltransferase activity|methione N-acyltransferase activity|protein binding,|0009507,|chloroplast,7.022,0,119.8485,0
TRINITY_DN2252_c0_g1_i12,GSTUP_ARATH,PF02798.21,Glutathione S-transferase,|0006749,|glutathione metabolic process,|0016740,|transferase activity,.,.,586.1945,594.4955,122.3255,550.466
TRINITY_DN2267_c0_g1_i5,WRK70_SOLLC,PF03106.16,WRKY DNA -binding domain ,|0006355,|regulation of transcription DNA-templated,|0043565|0003700|0001067|0003690,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding,|0005634,|nucleus,8.0275,1.962,264.597,213.4485
TRINITY_DN22944_c0_g1_i1,PER55_ARATH,PF00141.24,Peroxidase    ,.,.,.,.,.,.,61.471,118.114,586.4305,2388.9915
TRINITY_DN22944_c0_g1_i3,PER55_ARATH,PF00141.24,Peroxidase    ,|0006979|0098869,|response to oxidative stress|cellular oxidant detoxification,|0004601|0020037|0046872,|peroxidase activity|heme binding|metal ion binding,.,.,97.893,20.1605,0,0
TRINITY_DN2300_c0_g1_i3,UPL6_ARATH,PF00632.26,HECT-domain (ubiquitin-transferase)   ,|0016567|0006511|0016567|0006511,|protein ubiquitination|ubiquitin-dependent protein catabolic process|protein ubiquitination|ubiquitin-dependent protein catabolic process,|0004842|0016874|0004842|0016874|0016746,|ubiquitin-protein transferase activity|ligase activity|ubiquitin-protein transferase activity|ligase activity|transferase activity transferring acyl groups,|0016021,|integral component of membrane,9.809,0,121.758,80.6305
TRINITY_DN23032_c0_g1_i6,BRG1_ARATH,PF13920.7,Zinc finger,|0016567,|protein ubiquitination,|0046872|0004842|0016874,|metal ion binding|ubiquitin-protein transferase activity|ligase activity,.,.,108.6675,0,93.1725,0
TRINITY_DN2317_c0_g1_i1,NIK3_ARATH,PF00069.26,Protein kinase domain  ,|0006468|0007639|0048653|0018212|0006468|0007639|0048653|0007178|0018212|0006952|0016032,|protein phosphorylation|homeostasis of number of meristem cells|anther development|peptidyl-tyrosine modification|protein phosphorylation|homeostasis of number of meristem cells|anther development|transmembrane receptor protein serine/threonine kinase signaling pathway|peptidyl-tyrosine modification|defense response|viral process,|0004672|0005524|0015026|0004888|0004672|0005524|0015026|0004888|0005515,|protein kinase activity|ATP binding|coreceptor activity|transmembrane signaling receptor activity|protein kinase activity|ATP binding|coreceptor activity|transmembrane signaling receptor activity|protein binding,|0016021|0005886|0016021|0005886|0005739,|integral component of membrane|plasma membrane|integral component of membrane|plasma membrane|mitochondrion,217.779,0,106.113,0
TRINITY_DN231_c0_g1_i16,DERL1_ORYSJ,PF04511.16,Der1-like family   ,|0030968|0030433,|endoplasmic reticulum unfolded protein response|ubiquitin-dependent ERAD pathway,|1990381|0051787,|ubiquitin-specific protease binding|misfolded protein binding,|0005789|0000153|0140534|0031301|0098796,|endoplasmic reticulum membrane|cytoplasmic ubiquitin ligase complex|endoplasmic reticulum protein-containing complex|integral component of organelle membrane|membrane protein complex,0,135.2135,160.9125,23.4145
TRINITY_DN23398_c0_g1_i7,CDKF4_ORYSJ,PF00069.26,Protein kinase domain  ,|0006468|0000165|0010468|0051726|0055085,|protein phosphorylation|MAPK cascade|regulation of gene expression|regulation of cell cycle|transmembrane transport,|0004674|0005524|0097472,|protein serine/threonine kinase activity|ATP binding|cyclin-dependent protein kinase activity,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane,327.4845,239.8635,65.179,0
TRINITY_DN2345_c0_g1_i2,RUBB_PEA,PF00118.25,TCP-1/cpn60 chaperonin family  ,|0042026|0051085,|protein refolding|chaperone cofactor-dependent protein refolding,|0005524,|ATP binding,|0009570|0022626|0005634,|chloroplast stroma|cytosolic ribosome|nucleus,315.3765,95.046,418.9785,2.5
TRINITY_DN235_c1_g1_i1,RADL6_ARATH,PF00249.32,Myb-like DNA-binding domain  ,.,.,.,.,|0005634,|nucleus,0,28.602,941.425,0
TRINITY_DN2387_c0_g1_i11,FLZ8_ARATH,PF04570.15,zinc-finger of the FCS-type,.,.,.,.,.,.,320.3225,221.08,14.089,42.3035
TRINITY_DN2389_c0_g1_i2,RBL14_ARATH,PF01694.23,Rhomboid family   ,|0006508,|proteolysis,|0004252|0046872|0004386|0005524|0003676,|serine-type endopeptidase activity|metal ion binding|helicase activity|ATP binding|nucleic acid binding,|0016021|0005886|0031966,|integral component of membrane|plasma membrane|mitochondrial membrane,0,167.8015,41.034,0
TRINITY_DN2405_c0_g1_i30,SKIP6_ARATH,PF02446.18,4-alpha-glucanotransferase    ,|0005977|0000025|0005983|0006006|0016567,|glycogen metabolic process|maltose catabolic process|starch catabolic process|glucose metabolic process|protein ubiquitination,|0102500|0004134|0016787,|beta-maltose 4-alpha-glucanotransferase activity|4-alpha-glucanotransferase activity|hydrolase activity,|0009507|0009501|0016021,|chloroplast|amyloplast|integral component of membrane,0,0,131.1875,6.833
TRINITY_DN24105_c0_g1_i18,FANCM_ARATH,PF00271.32,Helicase conserved C-terminal domain ,.,.,.,.,.,.,300.677,147.2695,0,77.3615
TRINITY_DN2419_c0_g1_i1,PKL_ARATH,PF00176.24,SNF2 family N-terminal domain ,|0032508,|DNA duplex unwinding,|0005524|0005506|0003678,|ATP binding|iron ion binding|DNA helicase activity,|0005634,|nucleus,107.7225,356.503,0,0
TRINITY_DN2430_c0_g1_i7,AGO10_ARATH,PF02171.18,Piwi domain   ,|0031047|1902183|0009934|0010586|0035019|0051607|0006417|0007275,|gene silencing by RNA|regulation of shoot apical meristem development|regulation of meristem structural organization|miRNA metabolic process|somatic stem cell population maintenance|defense response to virus|regulation of translation|multicellular organism development,|0003676|0005515,|nucleic acid binding|protein binding,|0005737|0043231,|cytoplasm|intracellular membrane-bounded organelle,247.3125,240.542,137.7435,1.1595
TRINITY_DN2430_c0_g2_i3,PNH1_ORYSJ,PF02171.18,Piwi domain   ,|0031047|0019827|1902183|0009934|0010586|0051607|0048366|0090305,|gene silencing by RNA|stem cell population maintenance|regulation of shoot apical meristem development|regulation of meristem structural organization|miRNA metabolic process|defense response to virus|leaf development|nucleic acid phosphodiester bond hydrolysis,|0003676|0004527|0004386,|nucleic acid binding|exonuclease activity|helicase activity,|0005737,|cytoplasm,27.087,346.9965,978.467,197.8455
TRINITY_DN2435_c0_g1_i1,GLO15_ORYSI,PF12076.9,WAX2 C-terminal domain  ,.,.,.,.,.,.,2624.743,207.3725,658.9085,55.503
TRINITY_DN2441_c0_g1_i1,EXPA8_ARATH,PF01357.22,Expansin C-terminal domain  ,|0009664|0080022|0009826,|plant-type cell wall organization|primary root development|unidimensional cell growth,.,.,|0005618|0005576|0016020,|cell wall|extracellular region|membrane,304.694,219.357,0,0
TRINITY_DN2444_c0_g1_i1,VATL4_ARATH,PF00620.28,RhoGAP domain   ,|0007165|0009664|0034059|0043547|1902600|0006511|0006364,|signal transduction|plant-type cell wall organization|response to anoxia|positive regulation of GTPase activity|proton transmembrane transport|ubiquitin-dependent protein catabolic process|rRNA processing,|0005096|0015078|0044769|0019829|0005515|0016787,|GTPase activator activity|proton transmembrane transporter activity|ATPase activity coupled to transmembrane movement of ions rotational mechanism|ATPase-coupled cation transmembrane transporter activity|protein binding|hydrolase activity,|0009531|0005886|0033179|0005774|0016021|0005886,|secondary cell wall|plasma membrane|proton-transporting V-type ATPase V0 domain|vacuolar membrane|integral component of membrane|plasma membrane,209.2285,183.889,90.704,0
TRINITY_DN2465_c0_g1_i1,YITV_BACSU,PF00326.22,Prolyl oligopeptidase family  ,|0006508,|proteolysis,|0016787|0140096,|hydrolase activity|catalytic activity acting on a protein,.,.,64.332,85.949,131.117,0
TRINITY_DN2484_c0_g1_i19,C3H18_ORYSJ,PF15001.7,AP-5 complex subunit sigma-1 ,.,.,|0003677|0046872|0003676|0046872|0003924|0005525,|DNA binding|metal ion binding|nucleic acid binding|metal ion binding|GTPase activity|GTP binding,.,.,492.104,577.3215,81.2045,0
TRINITY_DN2507_c0_g1_i9,PAT_PETHY,PF00155.22,Aminotransferase class I and II,|0009058,|biosynthetic process,|0030170|0003824,|pyridoxal phosphate binding|catalytic activity,.,.,38.7405,26.8185,502.538,8.214
TRINITY_DN2519_c0_g1_i3,FPG_ARATH,PF01149.25,Formamidopyrimidine-DNA glycosylase N-terminal domain ,|0006284,|base-excision repair,|0008534|0140078|0003684|0008270,|oxidized purine nucleobase lesion DNA N-glycosylase activity|class I DNA-(apurinic or apyrimidinic site) endonuclease activity|damaged DNA binding|zinc ion binding,.,.,31.527,66.9935,336.261,3383.5445
TRINITY_DN2527_c0_g1_i2,ICIS_VICFA,PF00280.19,Potato inhibitor I family ,.,.,.,.,.,.,0,29.0005,234.08,0
TRINITY_DN255_c0_g1_i28,OPA3_SCHPO,PF07047.13,Optic atrophy 3 protein (OPA3),|0019216,|regulation of lipid metabolic process,.,.,|0005739,|mitochondrion,0,0,92.702,30.1905
TRINITY_DN256_c0_g1_i1,CDF2_ARATH,PF02701.16,Dof domain,.,.,.,.,.,.,351.1195,727.752,117.4485,2.407
TRINITY_DN2577_c0_g1_i1,HSP7S_PEA,PF00012.21,Hsp70 protein   ,|0006457|0072596|0046686|0009409|0009408|0006605,|protein folding|establishment of protein localization to chloroplast|response to cadmium ion|response to cold|response to heat|protein targeting,|0051082|0005524,|unfolded protein binding|ATP binding,|0009507|0009532|0009526|0009579|0005739|0005634,|chloroplast|plastid stroma|plastid envelope|thylakoid|mitochondrion|nucleus,23.5725,0,0,50.4995
TRINITY_DN2594_c0_g1_i10,ACOT8_MOUSE,PF13622.7,Thioesterase-like superfamily   ,|0006637|0009062,|acyl-CoA metabolic process|fatty acid catabolic process,|0047617,|acyl-CoA hydrolase activity,|0005829|0016021,|cytosol|integral component of membrane,521.3825,259.752,283.6545,0
TRINITY_DN2612_c0_g1_i12,PIMT_WHEAT,PF01135.20,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)  ,|0008213|0043414,|protein alkylation|macromolecule methylation,|0004719,|protein-L-isoaspartate (D-aspartate) O-methyltransferase activity,|0005737|0016021,|cytoplasm|integral component of membrane,147.1205,0,74.7545,101.419
TRINITY_DN2629_c0_g1_i5,TAF7_ARATH,PF04658.14,TAFII55 protein conserved region ,|0006367|0006413|0070897,|transcription initiation from RNA polymerase II promoter|translational initiation|transcription preinitiation complex assembly,|0003743|0016251,|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity,|0005669|0016021,|transcription factor TFIID complex|integral component of membrane,359.4315,135.1555,22.537,816.0005
TRINITY_DN2641_c0_g1_i1,NHL10_ARATH,PF03168.14,Late embryogenesis abundant protein ,.,.,.,.,|0046658|0009506|0016021,|anchored component of plasma membrane|plasmodesma|integral component of membrane,172.7525,0,33.592,0
TRINITY_DN2644_c0_g1_i16,CHR9_ARATH,PF00176.24,SNF2 family N-terminal domain ,|0006281,|DNA repair,|0005524|0016787|0003677,|ATP binding|hydrolase activity|DNA binding,|0009506,|plasmodesma,128.136,216.594,0,20.993
TRINITY_DN265_c0_g1_i4,CKL2_ARATH,PF17501.3,Viral RNA-directed RNA polymerase ,|0006468|0018209|0006897,|protein phosphorylation|peptidyl-serine modification|endocytosis,|0004674|0005524,|protein serine/threonine kinase activity|ATP binding,|0005634|0005737|0009506|0016021,|nucleus|cytoplasm|plasmodesma|integral component of membrane,87.345,191.8655,0,0
