,Table S1. All DEGs obtained in this study.,,,,,,,,
TRINITY_DN3502_c0_g1_i3,GUN17_ARATH,PF00759.20,Glycosyl hydrolase family 9 ,|0030245|0071555,|cellulose catabolic process|cell wall organization,|0008810|0004650,|cellulase activity|polygalacturonase activity,|0005618|0016021,|cell wall|integral component of membrane
TRINITY_DN3502_c0_g1_i5,GUN17_ARATH,PF00759.20,Glycosyl hydrolase family 9 ,|0030245,|cellulose catabolic process,|0008810,|cellulase activity,.,.
TRINITY_DN3502_c0_g1_i9,GUN17_ARATH,PF00759.20,Glycosyl hydrolase family 9 ,|0030245|0071555,|cellulose catabolic process|cell wall organization,|0008810,|cellulase activity,|0016021,|integral component of membrane
TRINITY_DN35363_c0_g1_i1,SBT4_LOTJA,PF00082.23,Subtilase family   ,|0006508|0045087,|proteolysis|innate immune response,|0004252,|serine-type endopeptidase activity,|0048046|0016021,|apoplast|integral component of membrane
TRINITY_DN3555_c0_g1_i14,PBL27_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0016310|0071323|0036211|1900426|1900150|0000187|0044267|0045087|0045088,|phosphorylation|cellular response to chitin|protein modification process|positive regulation of defense response to bacterium|regulation of defense response to fungus|activation of MAPK activity|cellular protein metabolic process|innate immune response|regulation of innate immune response,|0016301|0016773|0140096|0005524|0005515,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding|protein binding,|0046658,|anchored component of plasma membrane
TRINITY_DN3555_c0_g1_i17,PBL27_ARATH,PF07714.18,Protein tyrosine and serine/threonine kinase,|0006468|0071323|1900426|1900150|0000187|0045087|0045088,|protein phosphorylation|cellular response to chitin|positive regulation of defense response to bacterium|regulation of defense response to fungus|activation of MAPK activity|innate immune response|regulation of innate immune response,|0016301|0016773|0140096|0005524|0005515,|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ATP binding|protein binding,|0046658,|anchored component of plasma membrane
TRINITY_DN35621_c0_g1_i1,THT2_ORYSJ,PF02458.16,Transferase family   ,|0009963|0010252|0009809,|positive regulation of flavonoid biosynthetic process|auxin homeostasis|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0005829|0016020,|cytosol|membrane
TRINITY_DN3568_c0_g1_i10,PP330_ARATH,PF03763.14,Remorin,|0051726|0006869|0006281,|regulation of cell cycle|lipid transport|DNA repair,|0004693|0008270|0008289|0016787,|cyclin-dependent protein serine/threonine kinase activity|zinc ion binding|lipid binding|hydrolase activity,|0005886|0016021|0005634,|plasma membrane|integral component of membrane|nucleus
TRINITY_DN3568_c0_g1_i12,PP330_ARATH,PF03763.14,Remorin,|0006869|0006281,|lipid transport|DNA repair,|0008270|0008289|0016787,|zinc ion binding|lipid binding|hydrolase activity,|0016021|0005634,|integral component of membrane|nucleus
TRINITY_DN3581_c0_g1_i2,ADT_ORYSJ,PF00153.28,Mitochondrial carrier protein  ,|1990544|0140021|0006468,|mitochondrial ATP transmembrane transport|mitochondrial ADP transmembrane transport|protein phosphorylation,|0005471|0004672|0005524,|ATP:ADP antiporter activity|protein kinase activity|ATP binding,|0005743|0016021|0009941,|mitochondrial inner membrane|integral component of membrane|chloroplast envelope
TRINITY_DN3595_c0_g2_i1,ARFK_ORYSJ,PF06507.14,Auxin response factor  ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634,|nucleus
TRINITY_DN3608_c0_g1_i11,GLNB_ORYSJ,PF00543.23,Nitrogen regulatory protein P-II ,|0006808|0050790|0009718|0009744|0042304|0009416|0042325|2000013|0006807,|regulation of nitrogen utilization|regulation of catalytic activity|anthocyanin-containing compound biosynthetic process|response to sucrose|regulation of fatty acid biosynthetic process|response to light stimulus|regulation of phosphorylation|regulation of arginine biosynthetic process via ornithine|nitrogen compound metabolic process,|0030234|0005524|0000287|0046912|0005515,|enzyme regulator activity|ATP binding|magnesium ion binding|transferase activity transferring acyl groups acyl groups converted into alkyl on transfer|protein binding,|0009534|0005829,|chloroplast thylakoid|cytosol
TRINITY_DN3675_c0_g1_i1,LFG4_ARATH,PF01027.21,Inhibitor of apoptosis-promoting Bax1 ,.,.,.,.,|0016021,|integral component of membrane
TRINITY_DN369_c0_g1_i5,SFSWA_HUMAN,PF01805.21,Surp module   ,|0006396|0022618|0016071,|RNA processing|ribonucleoprotein complex assembly|mRNA metabolic process,|0003723,|RNA binding,.,.
TRINITY_DN3709_c0_g1_i10,CB2G_SOLLC,PF00504.22,Chlorophyll A-B binding protein ,|0009765|0018298|0009416,|photosynthesis light harvesting|protein-chromophore linkage|response to light stimulus,|0016168|0046872|0019904|0008194,|chlorophyll binding|metal ion binding|protein domain specific binding|UDP-glycosyltransferase activity,|0009522|0009523|0009535|0010287|0009941|0016021,|photosystem I|photosystem II|chloroplast thylakoid membrane|plastoglobule|chloroplast envelope|integral component of membrane
TRINITY_DN372_c0_g1_i19,CSK2E_ARATH,PF01214.19,Casein kinase II regulatory subunit,|0045859|0016310|0006464,|regulation of protein kinase activity|phosphorylation|cellular protein modification process,|0019887|0016301,|protein kinase regulator activity|kinase activity,|0005956|0005634|0005737|0016021,|protein kinase CK2 complex|nucleus|cytoplasm|integral component of membrane
TRINITY_DN3749_c0_g2_i1,NAC78_ARATH,PF02365.16,No apical meristem (NAM) protein,|0006355|0009819|0010150|2000377|1903508|1900056|0052317|0009700|0042538|0009718|0090502|0005992|0006561|0044272,|regulation of transcription DNA-templated|drought recovery|leaf senescence|regulation of reactive oxygen species metabolic process|positive regulation of nucleic acid-templated transcription|negative regulation of leaf senescence|camalexin metabolic process|indole phytoalexin biosynthetic process|hyperosmotic salinity response|anthocyanin-containing compound biosynthetic process|RNA phosphodiester bond hydrolysis endonucleolytic|trehalose biosynthetic process|proline biosynthetic process|sulfur compound biosynthetic process,|0003677|0003700|0004523,|DNA binding|DNA-binding transcription factor activity|RNA-DNA hybrid ribonuclease activity,|0016021|0005634|0005789,|integral component of membrane|nucleus|endoplasmic reticulum membrane
TRINITY_DN375_c0_g1_i33,MAD16_ORYSJ,PF00319.19,SRF-type transcription factor (DNA-binding and,|0045944,|positive regulation of transcription by RNA polymerase II,|0000977|0046983|0000987|0003700,|RNA polymerase II transcription regulatory region sequence-specific DNA binding|protein dimerization activity|cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity,|0005634|0000785,|nucleus|chromatin
TRINITY_DN3783_c0_g2_i2,URGT3_ARATH,PF03151.17,Triose-phosphate Transporter family  ,|0072334|0008643|0048354|0009624|0015786|0009833|0015783,|UDP-galactose transmembrane transport|carbohydrate transport|mucilage biosynthetic process involved in seed coat development|response to nematode|UDP-glucose transmembrane transport|plant-type primary cell wall biogenesis|GDP-fucose transmembrane transport,|0005459|0015297|0005460|0005457,|UDP-galactose transmembrane transporter activity|antiporter activity|UDP-glucose transmembrane transporter activity|GDP-fucose transmembrane transporter activity,|0005794|0016021|0098588|0031984,|Golgi apparatus|integral component of membrane|bounding membrane of organelle|organelle subcompartment
TRINITY_DN3827_c0_g1_i4,ALY3_ARATH,PF06584.14,DIRP    ,|0006351|0051726|0000003|0006357,|transcription DNA-templated|regulation of cell cycle|reproduction|regulation of transcription by RNA polymerase II,|0003677,|DNA binding,|0017053|0005634|0070013|0043233|0016021,|transcription repressor complex|nucleus|intracellular organelle lumen|organelle lumen|integral component of membrane
TRINITY_DN3827_c0_g1_i6,ALY3_ARATH,PF06584.14,DIRP    ,|0006351|0051726|0000003|0006357,|transcription DNA-templated|regulation of cell cycle|reproduction|regulation of transcription by RNA polymerase II,|0003677,|DNA binding,|0017053|0005634|0070013|0043233|0016021,|transcription repressor complex|nucleus|intracellular organelle lumen|organelle lumen|integral component of membrane
TRINITY_DN384_c0_g1_i26,TGAL1_ORYSJ,PF14144.7,Seed dormancy control  ,|0006351|0006355|0006952,|transcription DNA-templated|regulation of transcription DNA-templated|defense response,|0043565|0003700|0005515,|sequence-specific DNA binding|DNA-binding transcription factor activity|protein binding,|0005634,|nucleus
TRINITY_DN3870_c0_g1_i4,MSL8_ARATH,PF00924.19,Mechanosensitive ion channel  ,|0006811|0055085,|ion transport|transmembrane transport,|0008381,|mechanosensitive ion channel activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN3886_c0_g1_i1,HSF30_SOLPE,PF00447.18,HSF-type DNA-binding   ,|0006355|0034605|0010286|0010200|0071456|0042542|0034620|1903508,|regulation of transcription DNA-templated|cellular response to heat|heat acclimation|response to chitin|cellular response to hypoxia|response to hydrogen peroxide|cellular response to unfolded protein|positive regulation of nucleic acid-templated transcription,|0043565|0003700|0001067|0003690,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding,|0005634,|nucleus
TRINITY_DN3886_c0_g1_i3,HSF30_SOLPE,PF00447.18,HSF-type DNA-binding   ,|0006355|0034605|0010286|0010200|0071456|0042542|0034620|1903508,|regulation of transcription DNA-templated|cellular response to heat|heat acclimation|response to chitin|cellular response to hypoxia|response to hydrogen peroxide|cellular response to unfolded protein|positive regulation of nucleic acid-templated transcription,|0043565|0003700|0001067|0003690,|sequence-specific DNA binding|DNA-binding transcription factor activity|regulatory region nucleic acid binding|double-stranded DNA binding,|0005634,|nucleus
TRINITY_DN3915_c0_g1_i9,RGA3_SOLBU,PF00931.23,NB-ARC domain   ,|0006952,|defense response,|0043531|0005524,|ADP binding|ATP binding,.,.
TRINITY_DN3918_c0_g1_i4,PECT1_ARATH,PF01467.27,Cytidylyltransferase-like    ,|0008654,|phospholipid biosynthetic process,|0016779,|nucleotidyltransferase activity,|0016021,|integral component of membrane
TRINITY_DN3935_c0_g1_i2,DAAF1_ANOGA,PF12799.8,Leucine Rich repeats (2 copies),.,.,.,.,.,.
TRINITY_DN3953_c1_g1_i1,CAPPC_FLATR,PF00311.18,Phosphoenolpyruvate carboxylase   ,|0015977|0006099|0048366|0015979|0090377|0009915|0090378|0016036|0051262|0030001|0016310|0036211|0044267,|carbon fixation|tricarboxylic acid cycle|leaf development|photosynthesis|seed trichome initiation|phloem sucrose loading|seed trichome elongation|cellular response to phosphate starvation|protein tetramerization|metal ion transport|phosphorylation|protein modification process|cellular protein metabolic process,|0008964|0030246|0003779|0016301|0016773|0140096|0043167|0032559,|phosphoenolpyruvate carboxylase activity|carbohydrate binding|actin binding|kinase activity|phosphotransferase activity alcohol group as acceptor|catalytic activity acting on a protein|ion binding|adenyl ribonucleotide binding,|0048046|0005829|0009507|0009506|0005886|0016021,|apoplast|cytosol|chloroplast|plasmodesma|plasma membrane|integral component of membrane
TRINITY_DN3961_c0_g1_i2,ENOX_SOLLC,PF13602.7,Zinc-binding dehydrogenase   ,.,.,.,.,.,.
TRINITY_DN397_c0_g1_i14,TAF1_ORYSJ,PF00439.26,Bromodomain    ,|0051123|0006413|0051123|0006325|0006468,|RNA polymerase II preinitiation complex assembly|translational initiation|RNA polymerase II preinitiation complex assembly|chromatin organization|protein phosphorylation,|0016251|0017025|0003743|0016251|0017025|0106311|0106310,|RNA polymerase II general transcription initiation factor activity|TBP-class protein binding|translation initiation factor activity|RNA polymerase II general transcription initiation factor activity|TBP-class protein binding|protein threonine kinase activity|protein serine kinase activity,|0005634|0000428|0005667|0000785|0070013|0043233|0005634|0000428|0005667|0000785|0070013|0043233,|nucleus|DNA-directed RNA polymerase complex|transcription regulator complex|chromatin|intracellular organelle lumen|organelle lumen|nucleus|DNA-directed RNA polymerase complex|transcription regulator complex|chromatin|intracellular organelle lumen|organelle lumen
TRINITY_DN3982_c0_g1_i4,BAHL1_ORYSJ,PF03105.20,SPX domain   ,|0016567|0016310,|protein ubiquitination|phosphorylation,|0046872|0016874|0016740,|metal ion binding|ligase activity|transferase activity,|0016021,|integral component of membrane
TRINITY_DN3986_c0_g1_i6,GLGL1_BETVU,PF00483.24,Nucleotidyl transferase   ,|0019252|0005978,|starch biosynthetic process|glycogen biosynthetic process,|0008878|0005524,|glucose-1-phosphate adenylyltransferase activity|ATP binding,|0009507|0009501,|chloroplast|amyloplast
TRINITY_DN3993_c0_g1_i1,Y5673_ARATH,PF07321.13,Type III secretion protein YscO,|0007131,|reciprocal meiotic recombination,.,.,|0016021,|integral component of membrane
TRINITY_DN401_c0_g1_i5,MAD29_ORYSJ,PF01486.18,K-box region   ,|0045944|0048316|0019252|0043068,|positive regulation of transcription by RNA polymerase II|seed development|starch biosynthetic process|positive regulation of programmed cell death,|0000977|0046983|0003700|0000987,|RNA polymerase II transcription regulatory region sequence-specific DNA binding|protein dimerization activity|DNA-binding transcription factor activity|cis-regulatory region sequence-specific DNA binding,|0005634|0000785,|nucleus|chromatin
TRINITY_DN4034_c0_g1_i33,TGT_XENTR,PF01702.19,Queuine tRNA-ribosyltransferase   ,|0101030|0019748|0006357|0006412|0055085,|tRNA-guanine transglycosylation|secondary metabolic process|regulation of transcription by RNA polymerase II|translation|transmembrane transport,|0008479|0046872|0016747|0000981|0043565|0003735|0003723|0022857,|queuine tRNA-ribosyltransferase activity|metal ion binding|transferase activity transferring acyl groups other than amino-acyl groups|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding|structural constituent of ribosome|RNA binding|transmembrane transporter activity,|0005737|0043229|0043226|0016021|0031975,|cytoplasm|intracellular organelle|organelle|integral component of membrane|envelope
TRINITY_DN4034_c0_g1_i71,TGT_XENTR,PF01702.19,Queuine tRNA-ribosyltransferase   ,|0101030|0019748|0006357|0006412,|tRNA-guanine transglycosylation|secondary metabolic process|regulation of transcription by RNA polymerase II|translation,|0008479|0046872|0016747|0000981|0043565|0003735|0003723,|queuine tRNA-ribosyltransferase activity|metal ion binding|transferase activity transferring acyl groups other than amino-acyl groups|DNA-binding transcription factor activity RNA polymerase II-specific|sequence-specific DNA binding|structural constituent of ribosome|RNA binding,|0005737|0043229|0043226|0016021,|cytoplasm|intracellular organelle|organelle|integral component of membrane
TRINITY_DN4046_c0_g1_i4,PPCE_HUMAN,PF02897.16,Prolyl oligopeptidase,|0006508|0009820,|proteolysis|alkaloid metabolic process,|0004252|0070012,|serine-type endopeptidase activity|oligopeptidase activity,|0005829|0009507|0005739,|cytosol|chloroplast|mitochondrion
TRINITY_DN4047_c0_g1_i23,LYPA2_RAT,PF02230.17,Phospholipase/Carboxylesterase    ,.,.,|0016787,|hydrolase activity,.,.
TRINITY_DN4091_c0_g1_i3,NAC74_ORYSJ,PF02365.16,No apical meristem (NAM) protein,|0006355|2000039|0009938|0009845|0048573|0071472|0033619|0009739|1903508|0006986|0009908|0071396|0009755|1901701|0035556|0006629,|regulation of transcription DNA-templated|regulation of trichome morphogenesis|negative regulation of gibberellic acid mediated signaling pathway|seed germination|photoperiodism flowering|cellular response to salt stress|membrane protein proteolysis|response to gibberellin|positive regulation of nucleic acid-templated transcription|response to unfolded protein|flower development|cellular response to lipid|hormone-mediated signaling pathway|cellular response to oxygen-containing compound|intracellular signal transduction|lipid metabolic process,|0003677|0003700|0004435,|DNA binding|DNA-binding transcription factor activity|phosphatidylinositol phospholipase C activity,|0016021|0005634|0005886,|integral component of membrane|nucleus|plasma membrane
